Variable,Importancia
type_organic,0.39056131499852825
Large Bags,0.07997836092445153
4046,0.07618092679700675
4225,0.0650802114953338
week,0.05748990859928748
month,0.046741915458767484
year,0.033117346454092554
year_date,0.03159550046744138
Total Bags,0.029941889056550788
Total Volume,0.027245001602440668
Small Bags,0.026714236470224
4770,0.02610770079361438
region_HartfordSpringfield,0.013790519354956487
region_SanFrancisco,0.010608215954135879
day,0.010487296533964498
region_PhoenixTucson,0.006031962797881523
region_NewYork,0.0040198656617301985
region_Northeast,0.0038346444252623135
XLarge Bags,0.0036177388222719763
region_SouthCentral,0.00344756629143398
region_LosAngeles,0.0025632743870793364
region_LasVegas,0.002396376813724529
region_Houston,0.002378959596790695
region_BuffaloRochester,0.002377850058963539
region_Seattle,0.0022400222016481282
region_GrandRapids,0.0022345148056318247
region_Denver,0.0020032886938208577
region_Philadelphia,0.0019380268115794868
region_Louisville,0.0019320925651189348
region_WestTexNewMexico,0.0019272674473634552
region_Boston,0.001838994856141243
region_CincinnatiDayton,0.0016497656600756119
region_DallasFtWorth,0.0016059047333427268
region_Portland,0.0015209337787558958
region_West,0.001507176078119158
region_MiamiFtLauderdale,0.0014339991234909887
region_Pittsburgh,0.0012849814517784802
region_Spokane,0.001280243831771966
region_RichmondNorfolk,0.0012344277438771781
region_Sacramento,0.0012333271566477954
region_RaleighGreensboro,0.0010703975865977457
region_HarrisburgScranton,0.0010388063323972189
region_Orlando,0.001034607224073774
region_Chicago,0.0009015154657584912
region_Boise,0.0008865184982130445
region_Indianapolis,0.0008819860167476461
region_Nashville,0.0008145489903793961
region_Midsouth,0.000777121509601324
region_NorthernNewEngland,0.0007033787119729007
region_SanDiego,0.0006653987900414217
region_Detroit,0.0006555534352017269
region_Roanoke,0.0006429633300554522
region_NewOrleansMobile,0.0005756039618984664
region_StLouis,0.0005475810763542078
region_Charlotte,0.0005468862461627782
region_Atlanta,0.0005452051992272772
region_California,0.0005000277569622353
region_Columbus,0.0004975814393225279
region_SouthCarolina,0.000465458400055488
region_Southeast,0.00045593829737971376
region_GreatLakes,0.0004494819308306715
region_Tampa,0.0004019584693761665
region_Plains,0.0003868553543713915
region_Jacksonville,0.00037383936523379194
region_Syracuse,0.0003709237814515279
region_BaltimoreWashington,0.00036648897303449975
region_TotalUS,0.0002698231022013725
